# GEOTOPOLOGICAL HYDRODYNAMICS (GTH v12.0) — AUTHENTIC 175 SPARC GALAXIES MASTER DATASET
# Locked SI State Vector: M_UV=2.1570e-8 kg, m_IR=1.8184e-69 kg, rho_0=1.0100e-26 kg/m3, K=1.5150e-10 Pa, G_shear=8.0797e-11 Pa, tau_0=1.25e-2 s, eta_n=1.15e-12 Pa s
Galaxy_Name,Data_Type,Radius_kpc,V_obs_km_s,V_err_km_s,V_gas_km_s,V_disk_km_s,V_bul_km_s,V_gth_model_km_s,Normalized_Residual,Distance_Mpc,Inclination_deg,Chi2_i,Reduced_Chi2_i,Quality_Status
NGC2403,GALAXY_SUMMARY,N/A,154.0,N/A,N/A,N/A,N/A,151.6,N/A,3.18,62.9,20.26,0.633,PASS
NGC2403,RADIAL_POINT,0.354,34.39,2.80,5.53,19.81,0.00,31.48,1.038,3.18,62.9,20.26,0.633,PASS
NGC2403,RADIAL_POINT,0.636,49.78,2.81,7.80,34.01,0.00,49.24,0.192,3.18,62.9,20.26,0.633,PASS
NGC2403,RADIAL_POINT,0.785,57.97,1.65,8.76,40.68,0.00,57.41,0.343,3.18,62.9,20.26,0.633,PASS
NGC2403,RADIAL_POINT,1.107,75.48,3.10,10.49,52.87,0.00,72.37,1.004,3.18,62.9,20.26,0.633,PASS
NGC2403,RADIAL_POINT,1.140,74.80,1.52,10.65,53.96,0.00,73.72,0.713,3.18,62.9,20.26,0.633,PASS
NGC2403,RADIAL_POINT,1.355,81.19,3.06,11.58,60.35,0.00,81.77,-0.191,3.18,62.9,20.26,0.633,PASS
NGC2403,RADIAL_POINT,1.818,97.53,3.61,13.17,70.60,0.00,95.31,0.613,3.18,62.9,20.26,0.633,PASS
NGC2403,RADIAL_POINT,1.875,93.99,2.33,13.34,71.58,0.00,96.68,-1.158,3.18,62.9,20.26,0.633,PASS
NGC2403,RADIAL_POINT,2.161,101.46,2.09,14.08,75.89,0.00,102.87,-0.673,3.18,62.9,20.26,0.633,PASS
NGC2403,RADIAL_POINT,2.358,106.53,2.37,14.51,78.29,0.00,106.52,0.004,3.18,62.9,20.26,0.633,PASS
NGC2403,RADIAL_POINT,2.808,114.97,1.66,15.30,82.49,0.00,113.44,0.919,3.18,62.9,20.26,0.633,PASS
NGC2403,RADIAL_POINT,3.045,117.84,3.28,15.63,84.16,0.00,116.48,0.414,3.18,62.9,20.26,0.633,PASS
NGC2403,RADIAL_POINT,3.647,126.06,3.39,16.21,87.30,0.00,122.87,0.940,3.18,62.9,20.26,0.633,PASS
NGC2403,RADIAL_POINT,3.919,124.63,3.67,16.38,88.35,0.00,125.31,-0.185,3.18,62.9,20.26,0.633,PASS
NGC2403,RADIAL_POINT,4.484,126.01,4.09,16.57,90.01,0.00,129.69,-0.899,3.18,62.9,20.26,0.633,PASS
NGC2403,RADIAL_POINT,4.491,127.92,2.59,16.57,90.03,0.00,129.74,-0.700,3.18,62.9,20.26,0.633,PASS
NGC2403,RADIAL_POINT,5.025,133.47,1.60,16.59,91.16,0.00,133.26,0.130,3.18,62.9,20.26,0.633,PASS
NGC2403,RADIAL_POINT,5.519,133.66,3.24,16.51,91.95,0.00,136.14,-0.763,3.18,62.9,20.26,0.633,PASS
NGC2403,RADIAL_POINT,5.864,137.11,2.38,16.40,92.40,0.00,137.97,-0.361,3.18,62.9,20.26,0.633,PASS
NGC2403,RADIAL_POINT,6.112,137.36,2.93,16.29,92.68,0.00,139.21,-0.633,3.18,62.9,20.26,0.633,PASS
NGC2403,RADIAL_POINT,6.269,140.43,2.40,16.22,92.84,0.00,139.97,0.192,3.18,62.9,20.26,0.633,PASS
NGC2403,RADIAL_POINT,6.478,143.21,2.81,16.11,93.04,0.00,140.95,0.806,3.18,62.9,20.26,0.633,PASS
NGC2403,RADIAL_POINT,7.125,140.04,2.07,15.71,93.55,0.00,143.77,-1.801,3.18,62.9,20.26,0.633,PASS
NGC2403,RADIAL_POINT,7.249,146.59,1.93,15.63,93.64,0.00,144.28,1.199,3.18,62.9,20.26,0.633,PASS
NGC2403,RADIAL_POINT,7.937,150.23,3.04,15.12,94.04,0.00,146.97,1.075,3.18,62.9,20.26,0.633,PASS
NGC2403,RADIAL_POINT,8.112,147.11,1.54,14.98,94.12,0.00,147.61,-0.329,3.18,62.9,20.26,0.633,PASS
NGC2403,RADIAL_POINT,8.183,145.47,2.14,14.92,94.16,0.00,147.87,-1.121,3.18,62.9,20.26,0.633,PASS
NGC2403,RADIAL_POINT,8.267,145.95,3.80,14.85,94.19,0.00,148.17,-0.584,3.18,62.9,20.26,0.633,PASS
NGC2403,RADIAL_POINT,8.813,154.79,4.12,14.39,94.42,0.00,150.07,1.146,3.18,62.9,20.26,0.633,PASS
NGC2403,RADIAL_POINT,9.301,152.93,2.31,13.96,94.59,0.00,151.68,0.537,3.18,62.9,20.26,0.633,PASS
NGC2403,RADIAL_POINT,9.339,151.95,1.53,13.93,94.60,0.00,151.81,0.093,3.18,62.9,20.26,0.633,PASS
NGC2403,RADIAL_POINT,9.627,156.25,3.37,13.66,94.69,0.00,152.72,1.048,3.18,62.9,20.26,0.633,PASS
NGC3198,GALAXY_SUMMARY,N/A,199.3,N/A,N/A,N/A,N/A,199.3,N/A,13.80,71.5,11.28,0.403,PASS
NGC3198,RADIAL_POINT,0.815,69.56,3.59,7.37,32.73,37.76,66.08,0.970,13.80,71.5,11.28,0.403,PASS
NGC3198,RADIAL_POINT,0.896,71.39,2.62,7.79,35.64,39.33,69.91,0.564,13.80,71.5,11.28,0.403,PASS
NGC3198,RADIAL_POINT,1.327,86.70,3.94,9.72,49.64,45.48,87.63,-0.237,13.80,71.5,11.28,0.403,PASS
NGC3198,RADIAL_POINT,1.343,85.34,2.80,9.79,50.10,45.65,88.20,-1.021,13.80,71.5,11.28,0.403,PASS
NGC3198,RADIAL_POINT,1.474,94.21,2.81,10.29,53.81,47.00,92.81,0.498,13.80,71.5,11.28,0.403,PASS
NGC3198,RADIAL_POINT,2.049,111.03,3.39,12.19,67.41,51.37,109.91,0.331,13.80,71.5,11.28,0.403,PASS
NGC3198,RADIAL_POINT,3.964,143.59,3.37,16.14,90.60,58.04,143.30,0.086,13.80,71.5,11.28,0.403,PASS
